date,content,reply_count
2019-01-25,"Let's advance equality for LGBTI globally &amp; end discrimination. @UNHumanRights Chief @mbachelet calls on businesses to adopt UN #BizHumanRights Standards, which help companies protect &amp; stand up for LGBTI rights. Watch #LGBTIbroadcast: https://t.co/5ttVsODqCd #WEF19 @Sandervtn https://t.co/JXvwdSj5Iz",283
2019-01-23,The Internet is strained. Digital trust is eroding. And CEOs need new strategies to keep up. Watch our panel discuss from Davos: https://t.co/r4TIu37Ya2 #InternetOfTrust #WEF19 https://t.co/k0FLDn99bo,108
2019-01-21,#WEF19 Poll: Who should be primarily responsible for reinventing the Internet to be more secure and trustworthy? #InternetOfTrust https://t.co/5eZGCBNXFX,98
2019-03-06,How do you define equality in a word? Our leaders share their ideas. More on #GettingToEqual: https://t.co/kph5tGGoWv #IWD2019 https://t.co/zq2WJYlgkU,96
2019-01-17,"#WEF19 Poll: When used responsibly, what’s the biggest benefit for companies who use workplace data? #FutureWorkforce https://t.co/CSvQkoTFnJ",84
